title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score
She's Gotta Have It,MOVIE,1986,R,84,"['comedy', 'romance']",['US'],,tt0091939,6.7
Eddie Murphy Raw,MOVIE,1987,R,93,"['comedy', 'documentation']",['US'],,tt0092948,7.6
Endless Love,MOVIE,1981,R,116,"['drama', 'romance']",['US'],,tt0082329,4.9
Wheel of Fortune,SHOW,1983,TV-G,26,['family'],['US'],39.0,tt0072584,6.7
Major Dad,SHOW,1989,TV-PG,24,"['comedy', 'family']",['US'],4.0,tt0096643,6.4
Fireman Sam,SHOW,1987,TV-Y,10,"['comedy', 'animation', 'family', 'crime', 'european']",['GB'],13.0,tt0329829,6.1
Danger Mouse,SHOW,1981,TV-Y,15,"['comedy', 'family', 'scifi', 'animation', 'european']",['GB'],10.0,tt0081848,7.4
Mobile Suit Gundam II: Soldiers of Sorrow,MOVIE,1981,,133,"['scifi', 'drama', 'war', 'animation', 'action']",['JP'],,tt0159510,7.2
Mobile Suit Gundam: Char's Counterattack,MOVIE,1988,,120,"['scifi', 'animation', 'action', 'drama', 'war']",['JP'],,tt0095262,7.3
Sam Kinison: Breaking the Rules,MOVIE,1987,R,50,"['comedy', 'documentation']",['US'],,tt0307403,7.2
Tim Allen: Men Are Pigs,MOVIE,1990,,30,"['comedy', 'documentation']",['US'],,tt0259057,6.0
Monty Python Live at the Hollywood Bowl,MOVIE,1982,R,77,"['comedy', 'documentation']",['GB'],,tt0084352,7.9
The George McKenna Story,MOVIE,1988,,100,['drama'],['US'],,tt0091106,6.0
Unspeakable Acts,MOVIE,1990,,100,['drama'],['US'],,tt0100848,6.0
Waiting for the Hearse,MOVIE,1985,,87,['comedy'],['AR'],,tt0089108,8.0
Mobile Suit Gundam III: Encounters in Space,MOVIE,1982,,144,"['animation', 'action', 'drama', 'scifi', 'war']",['JP'],,tt0159511,7.7
Agneepath,MOVIE,1990,,174,"['action', 'crime', 'drama']",['IN'],,tt0098999,7.6
Parrot Sketch Not Included: Twenty Years of Monty Python,MOVIE,1989,,72,['comedy'],['GB'],,tt0213984,8.1
Too Young The Hero,MOVIE,1988,,100,"['drama', 'war']",['US'],,tt0096286,6.7
Adam: His Song Continues,MOVIE,1986,,100,"['crime', 'drama']",['US'],,tt0090589,7.0
Disco Dancer,MOVIE,1982,,134,"['drama', 'romance']",['IN'],,tt0208903,6.5
The Ryan White Story,MOVIE,1989,,102,['drama'],['US'],,tt0098237,7.2
In Defense of a Married Man,MOVIE,1990,,94,"['drama', 'crime']",['US'],,tt0099833,5.6
Dil,MOVIE,1990,,172,"['romance', 'comedy', 'drama']",['IN'],,tt0099429,6.6
