title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score
Looper,MOVIE,2012,R,119,"['thriller', 'scifi', 'drama', 'crime', 'action']",['US'],,tt1276104,7.4
Shameless,SHOW,2011,TV-MA,54,"['drama', 'comedy']",['US'],11.0,tt1586680,8.6
Happy Endings,SHOW,2011,TV-14,21,"['comedy', 'romance']",['US'],3.0,tt2311579,7.8
Argo,MOVIE,2012,R,120,"['drama', 'thriller']","['US', 'GB']",,tt1024648,7.7
Last Tango in Halifax,SHOW,2012,TV-14,59,"['comedy', 'drama', 'romance', 'european']",['GB'],5.0,tt2216156,8.3
Midnight in Paris,MOVIE,2011,PG-13,94,"['fantasy', 'romance', 'comedy']","['US', 'ES']",,tt1605783,7.7
Ink Master,SHOW,2012,TV-14,42,['reality'],['US'],13.0,tt1865740,7.4
Top Boy,SHOW,2011,TV-MA,48,"['drama', 'thriller', 'crime', 'european']",['GB'],2.0,tt1830379,8.4
Warrior,MOVIE,2011,PG-13,140,"['drama', 'action', 'sport']",['US'],,tt1291584,8.2
Hunter x Hunter,SHOW,2011,TV-14,23,"['drama', 'action', 'comedy', 'crime', 'animation', 'documentation', 'family', 'fantasy']",['JP'],3.0,tt2098220,9.0
Les Misérables,MOVIE,2012,PG-13,157,"['drama', 'romance', 'history', 'war']","['GB', 'US']",,tt1707386,7.5
Arrow,SHOW,2012,TV-14,42,"['action', 'crime', 'drama', 'scifi']",['US'],8.0,tt2193021,7.5
The Girl with the Dragon Tattoo,MOVIE,2011,R,158,"['crime', 'thriller', 'drama']","['NO', 'SE', 'US']",,tt1568346,7.8
Contagion,MOVIE,2011,PG-13,106,"['thriller', 'scifi', 'action', 'drama']","['US', 'AE']",,tt1598778,6.8
Battleship,MOVIE,2012,PG-13,131,"['scifi', 'thriller', 'action', 'documentation']",['US'],,tt1440129,5.8
Killing Them Softly,MOVIE,2012,R,104,"['crime', 'thriller', 'drama']",['US'],,tt1767297,6.2
Just Go with It,MOVIE,2011,PG-13,117,"['romance', 'comedy']",['US'],,tt1564367,6.4
Dark Shadows,MOVIE,2012,PG-13,113,"['comedy', 'fantasy', 'horror']",['US'],,tt1077368,6.2
Sherlock Holmes: A Game of Shadows,MOVIE,2011,PG-13,129,"['crime', 'thriller', 'action']","['US', 'GB']",,tt1515091,7.4
Silver Linings Playbook,MOVIE,2012,R,122,"['drama', 'romance', 'comedy']",['US'],,tt1045658,7.7
The Legend of Korra,SHOW,2012,TV-Y7,23,"['action', 'scifi', 'comedy', 'drama', 'family', 'fantasy', 'animation']",['US'],4.0,tt1695360,8.4
Sword Art Online,SHOW,2012,TV-MA,23,"['scifi', 'action', 'animation', 'drama', 'western', 'comedy', 'fantasy', 'romance', 'thriller']",['JP'],4.0,tt2250192,7.6
Sucker Punch,MOVIE,2011,PG-13,110,"['fantasy', 'thriller', 'action']","['US', 'CA']",,tt0978764,6.0
Jackass 3.5,MOVIE,2011,,85,"['action', 'comedy', 'documentation']",['US'],,,
The Borgias,SHOW,2011,TV-MA,51,"['drama', 'history', 'romance', 'crime']","['CA', 'HU', 'US']",3.0,tt1582457,7.9
Ninjago: Masters of Spinjitzu,SHOW,2012,TV-Y7,17,"['scifi', 'comedy', 'family', 'fantasy', 'animation', 'action', 'european']","['DK', 'US']",15.0,tt1871731,7.2
Total Recall,MOVIE,2012,PG-13,120,"['thriller', 'scifi', 'crime', 'action']","['CA', 'US']",,tt1386703,6.2
Puella Magi Madoka Magica,SHOW,2011,TV-14,24,"['scifi', 'thriller', 'animation', 'drama', 'fantasy']",['JP'],1.0,tt1773185,8.3
Project X,MOVIE,2012,R,88,['comedy'],['US'],,tt1636826,6.6
Berserk: The Golden Age Arc I - The Egg of the King,MOVIE,2012,NC-17,76,"['fantasy', 'war', 'animation', 'action', 'drama', 'horror']",['JP'],,tt2311238,7.5
Soul Surfer,MOVIE,2011,PG,112,"['drama', 'family', 'sport']",['US'],,tt1596346,7.0
Transformers: Rescue Bots,SHOW,2012,TV-Y7,22,"['action', 'scifi', 'comedy', 'family', 'animation']",['US'],4.0,tt2139371,6.4
Final Destination 5,MOVIE,2011,R,92,"['horror', 'thriller', 'action', 'fantasy', 'documentation', 'european']",['US'],,tt1622979,5.9
Puss in Boots,MOVIE,2011,PG,79,"['comedy', 'animation', 'family', 'fantasy', 'action']",['US'],,tt0448694,6.6
Savages,MOVIE,2012,R,131,"['thriller', 'action', 'crime', 'drama']",['US'],,tt1615065,6.4
Teen Mom 2,SHOW,2011,TV-14,41,"['reality', 'romance', 'documentation', 'comedy']",['US'],11.0,tt1821220,4.5
Hall Pass,MOVIE,2011,R,105,"['romance', 'comedy']",['US'],,tt0480687,5.9
Comedians in Cars Getting Coffee,SHOW,2012,TV-14,20,"['comedy', 'family', 'animation']",['US'],11.0,tt2314952,8.0
Lilyhammer,SHOW,2012,TV-MA,45,"['crime', 'comedy', 'drama']",['NO'],3.0,tt1958961,7.9
Rurouni Kenshin Part I: Origins,MOVIE,2012,PG-13,134,"['drama', 'war', 'action', 'history']",['JP'],,tt1979319,7.4
Unknown,MOVIE,2011,PG-13,113,"['action', 'thriller', 'european']","['GB', 'FR', 'DE']",,tt1401152,6.8
TIGER & BUNNY,SHOW,2011,TV-14,26,"['scifi', 'action', 'animation', 'comedy', 'crime']",['JP'],2.0,tt2061527,7.3
Hostel: Part III,MOVIE,2011,R,88,['horror'],['US'],,,
Fate/Zero,SHOW,2011,TV-MA,25,"['scifi', 'action', 'animation', 'drama', 'fantasy', 'thriller']",['JP'],2.0,tt2051178,8.2
The Rite,MOVIE,2011,PG-13,114,"['drama', 'thriller', 'horror']","['US', 'HU', 'IT']",,tt1161864,6.0
Blue Exorcist,SHOW,2011,TV-14,24,"['scifi', 'horror', 'family', 'animation', 'action', 'drama', 'fantasy']",['JP'],2.0,tt1799631,7.5
X-Men,SHOW,2011,TV-14,23,['scifi'],['JP'],1.0,,
Barbie: Life in the Dreamhouse,SHOW,2012,TV-Y,6,"['animation', 'comedy', 'family']",['US'],7.0,tt2644032,7.3
Mean Girls 2,MOVIE,2011,PG-13,96,['comedy'],['US'],,tt1679235,4.1
A Very Harold & Kumar Christmas,MOVIE,2011,R,108,"['comedy', 'fantasy', 'romance']",['US'],,tt1268799,6.2
anohana: The Flower We Saw That Day,SHOW,2011,TV-PG,23,"['drama', 'fantasy', 'romance', 'animation']",['JP'],1.0,tt1913273,8.2
Magi,SHOW,2012,TV-14,24,"['scifi', 'action', 'comedy', 'animation', 'fantasy']",['JP'],3.0,tt2425098,7.8
Cuckoo,SHOW,2012,TV-14,27,"['comedy', 'drama', 'european']",['GB'],5.0,tt2329333,5.9
Thermae Romae,SHOW,2012,,27,['animation'],['JP'],6.0,tt2230761,6.1
Red Riding Hood,MOVIE,2011,PG-13,100,"['fantasy', 'thriller', 'horror', 'drama', 'romance']","['CA', 'US']",,tt1486185,5.4
My Babysitter's a Vampire,SHOW,2011,TV-PG,22,"['scifi', 'fantasy', 'horror', 'action', 'comedy']","['US', 'CA']",2.0,tt1727434,6.9
Kuroko's Basketball,SHOW,2012,TV-14,24,"['animation', 'comedy', 'sport']",['JP'],3.0,tt2348803,8.3
New Year's Eve,MOVIE,2011,PG-13,113,"['comedy', 'romance', 'documentation']",['US'],,tt1598822,5.6
The Smurfs,MOVIE,2011,PG,103,"['fantasy', 'comedy', 'family', 'animation']",['US'],,tt0472181,5.4
Jack and Jill,MOVIE,2011,PG,91,"['comedy', 'horror']",['US'],,tt0810913,3.3
Everything Must Go,MOVIE,2011,R,97,"['comedy', 'drama']",['US'],,tt1531663,6.4
Rita,SHOW,2012,TV-MA,40,"['comedy', 'drama', 'european']",['DK'],5.0,tt1973692,8.1
John Mulaney: New in Town,MOVIE,2012,,58,"['comedy', 'documentation']",['US'],,tt2246779,8.2
Wolverine,SHOW,2011,TV-14,24,"['action', 'scifi', 'animation']",['JP'],1.0,tt1847521,6.2
One Piece Film: Z,MOVIE,2012,PG-13,108,"['action', 'animation', 'fantasy']",['JP'],,tt2375379,7.8
LEGO City,SHOW,2011,TV-G,4,"['animation', 'european']",['GB'],3.0,tt7530250,5.0
Arthur Christmas,MOVIE,2011,PG,97,"['drama', 'animation', 'family', 'comedy', 'fantasy']","['GB', 'US']",,tt1430607,7.1
MeatEater,SHOW,2012,TV-14,22,['documentation'],['US'],10.0,tt2169245,7.5
Silenced,MOVIE,2011,,125,['drama'],['KR'],,tt2070649,8.0
A Perfect Ending,MOVIE,2012,,110,"['drama', 'romance']",['US'],,tt1823059,5.7
Outback Truckers,SHOW,2012,TV-14,44,"['reality', 'documentation']",['AU'],9.0,tt5632186,7.4
LEGO Friends,SHOW,2012,TV-Y,16,"['animation', 'european']",['US'],5.0,tt9148446,7.6
Quartet,MOVIE,2012,PG-13,98,"['romance', 'comedy', 'drama', 'music']",['GB'],,tt1441951,6.8
Berserk: The Golden Age Arc II - The Battle for Doldrey,MOVIE,2012,R,80,"['fantasy', 'drama', 'horror', 'animation', 'action']",['JP'],,tt2358911,7.7
La Reina del Sur,SHOW,2011,TV-MA,42,"['drama', 'action', 'crime', 'thriller']",['MX'],2.0,tt1704637,8.0
Pablo Escobar: The Drug Lord,SHOW,2012,TV-14,44,"['crime', 'drama', 'history', 'thriller']",['CO'],1.0,tt2187850,8.4
Bill Burr: You People Are All The Same,MOVIE,2012,R,68,['comedy'],['US'],,tt2290153,8.2
Bully,MOVIE,2011,PG-13,92,"['drama', 'documentation']",['US'],,tt1682181,7.4
The History of Future Folk,MOVIE,2012,,86,"['comedy', 'music', 'scifi']",['US'],,tt2245195,7.1
Cloudburst,MOVIE,2011,,93,"['romance', 'drama', 'comedy']","['US', 'CA']",,tt1466054,7.2
Donald Glover: Weirdo,MOVIE,2012,,65,"['comedy', 'documentation']",['US'],,tt2345525,7.4
A Princess for Christmas,MOVIE,2011,PG,89,"['comedy', 'family', 'romance', 'drama']",['US'],,tt1083448,6.3
Middle of Nowhere,MOVIE,2012,R,101,['drama'],['US'],,tt1211890,6.5
Zindagi Na Milegi Dobara,MOVIE,2011,PG,166,"['comedy', 'drama']",['IN'],,tt1562872,8.1
Kung Fu Panda: Secrets of the Scroll,MOVIE,2012,G,23,['comedy'],['US'],,,
What About Dick?,MOVIE,2012,G,80,['comedy'],"['US', 'GB']",,,
Escape from Planet Earth,MOVIE,2012,PG,89,"['comedy', 'family', 'scifi', 'animation']","['CA', 'US']",,tt0765446,5.8
Inventing David Geffen,MOVIE,2012,,120,['documentation'],[],,,
Sebastian Maniscalco: What's Wrong with People?,MOVIE,2012,,75,['comedy'],['US'],,tt2215489,8.0
Undefeated,MOVIE,2011,PG-13,113,"['documentation', 'sport']",['US'],,tt1860355,7.7
Singham,MOVIE,2011,,143,"['drama', 'action', 'crime']",['IN'],,tt1948150,6.8
Larva,SHOW,2011,TV-G,2,"['comedy', 'family', 'animation', 'drama', 'horror', 'thriller']",['KR'],5.0,tt6966158,7.1
Tim Minchin and the Heritage Orchestra: Live at the Royal Albert Hall,MOVIE,2011,,146,"['comedy', 'music']",['GB'],,,
The Ultimate Braai Master,SHOW,2012,TV-PG,45,['reality'],['ZA'],4.0,tt3264864,8.2
Minecraft: Story Mode,SHOW,2011,TV-PG,62,[],['US'],1.0,tt10498322,5.5
Barfi!,MOVIE,2012,G,151,"['drama', 'comedy', 'romance']",['IN'],,tt2082197,8.1
EastSiders,SHOW,2012,TV-MA,22,"['drama', 'comedy']",['US'],4.0,tt2558816,6.8
Smile PreCure!,SHOW,2012,TV-Y7,22,"['comedy', 'action', 'scifi', 'family', 'fantasy', 'animation']",['JP'],2.0,tt2230557,6.1
Mosquita y Mari,MOVIE,2012,,85,['drama'],['US'],,tt1978480,6.3
The Great Magician,MOVIE,2011,,128,"['drama', 'comedy', 'romance']","['CN', 'HK']",,tt1869721,5.9
Robocar Poli,SHOW,2011,TV-Y,14,"['family', 'fantasy', 'animation', 'comedy']",['KR'],4.0,tt4763642,5.8
Joan Rivers: Don't Start with Me,MOVIE,2012,R,68,['comedy'],['US'],,tt2519318,6.6
Sniper: Reloaded,MOVIE,2011,R,91,['thriller'],"['US', 'ZA', 'DE']",,,
Delhi Belly,MOVIE,2011,,102,"['comedy', 'action', 'crime', 'thriller']",['IN'],,tt1934231,7.6
Naruto Shippuden the Movie: Blood Prison,MOVIE,2011,PG-13,108,"['horror', 'thriller', 'animation', 'action', 'fantasy', 'comedy']",['JP'],,tt1999167,7.1
Maria Bamford: The Special Special Special!,MOVIE,2012,,50,['comedy'],['US'],,tt2547430,7.0
Little Baby Bum,SHOW,2011,TV-Y,5,"['animation', 'family', 'music']",['GB'],4.0,tt10051854,6.4
Tiger & Bunny: The Beginning,MOVIE,2012,PG,88,"['scifi', 'animation', 'action']",['JP'],,tt2507174,6.7
Don't Go Breaking My Heart,MOVIE,2011,,115,"['comedy', 'romance']",['HK'],,tt1776143,6.5
Pyaar Ka Punchnama,MOVIE,2011,PG-13,149,"['romance', 'comedy', 'drama', 'european']",['IN'],,tt1926313,7.7
Big Time Movie,MOVIE,2012,G,65,"['comedy', 'family', 'music']",['US'],,tt2163203,6.1
The American Bible Challenge,SHOW,2012,TV-G,43,['family'],['US'],3.0,tt2246424,6.4
A World Not Ours,MOVIE,2012,,93,"['documentation', 'history']",['PS'],,tt2233762,7.8
Inside West Coast Customs,SHOW,2011,TV-PG,47,['reality'],['US'],8.0,tt8358972,7.4
Don 2,MOVIE,2011,,139,"['action', 'thriller', 'crime', 'european']","['DE', 'IN']",,tt1285241,7.1
A Second Chance,MOVIE,2011,,90,"['drama', 'family', 'sport']",['AU'],,tt2150139,4.7
Jeff Dunham: Minding the Monsters,MOVIE,2012,PG-13,80,['comedy'],['US'],,tt2461736,7.0
Jeff Dunham: Controlled Chaos,MOVIE,2011,,90,"['comedy', 'documentation']",['US'],,tt2058636,7.4
Chillar Party,MOVIE,2011,G,140,"['drama', 'comedy', 'family']",['IN'],,tt1841542,7.5
The Dirty Picture,MOVIE,2011,,144,"['drama', 'comedy']",['IN'],,tt1954206,6.6
Kyaa Super Kool Hain Hum,MOVIE,2012,R,137,"['drama', 'comedy']",['IN'],,tt2027138,5.0
Talaash,MOVIE,2012,,149,"['thriller', 'crime', 'fantasy', 'drama']",['IN'],,tt1787988,7.3
Masha's tales,SHOW,2012,TV-Y,5,"['animation', 'family']",['RU'],2.0,tt3840498,6.4
El Reemplazante,SHOW,2012,TV-MA,45,['drama'],['CL'],2.0,tt2488050,8.5
Rowdy Rathore,MOVIE,2012,PG-13,143,"['crime', 'action', 'comedy']",['IN'],,tt2077833,5.9
Blitz Patrollie,MOVIE,2012,,101,"['comedy', 'action', 'crime']",['US'],,tt2336284,5.4
OMG: Oh My God!,MOVIE,2012,G,125,"['fantasy', 'drama', 'comedy']",['IN'],,tt2283748,8.1
6 Bullets,MOVIE,2012,R,115,"['thriller', 'drama', 'action', 'crime']",['US'],,tt1975249,6.0
Material,MOVIE,2012,,94,"['comedy', 'drama']",['ZA'],,tt3469008,7.3
Toll Booth,MOVIE,2011,,96,['drama'],['TR'],,tt1753866,6.4
An Elf's Story,MOVIE,2011,,24,"['fantasy', 'animation', 'family']",['US'],,tt2094761,5.2
Justin Time,SHOW,2011,TV-Y,15,"['action', 'animation', 'family', 'comedy']",['CA'],3.0,tt1759210,6.0
The In-Laws,SHOW,2011,TV-14,44,"['family', 'drama']",['SG'],1.0,tt12199688,
Without Gorky,MOVIE,2011,,58,['documentation'],['US'],,tt1854593,6.6
Bodyguard,MOVIE,2011,,134,"['drama', 'romance', 'action', 'comedy']",['IN'],,tt1729637,4.6
Shaitan,MOVIE,2011,PG-13,126,"['action', 'crime', 'thriller', 'drama']",['IN'],,tt1836912,7.3
Paan Singh Tomar,MOVIE,2012,PG,135,"['drama', 'sport', 'thriller', 'action', 'crime']",['IN'],,tt1620933,8.2
Jim Gaffigan: Mr. Universe,MOVIE,2012,,77,['comedy'],['US'],,,
Kath & Kimderella,MOVIE,2012,,80,['comedy'],['AU'],,tt1859607,5.3
Game,MOVIE,2011,PG,135,"['thriller', 'drama', 'action', 'crime', 'european']",['IN'],,tt1772872,5.2
Lavell Crawford: Can a Brother Get Some Love?,MOVIE,2011,NC-17,90,"['comedy', 'documentation']",['US'],,tt2084872,6.9
Grandmaster,MOVIE,2012,,130,"['thriller', 'action']",['IN'],,tt2345561,6.9
Arjun: The Warrior Prince,MOVIE,2012,G,96,"['animation', 'action', 'drama']",['IN'],,tt3758104,6.7
A Beautiful Life,MOVIE,2011,,122,"['drama', 'romance']","['CN', 'HK']",,tt1935067,6.7
Mugamoodi,MOVIE,2012,,162,['action'],['IN'],,tt2367996,5.1
Players,MOVIE,2012,,165,"['thriller', 'crime', 'action']",['IN'],,tt1784589,4.2
Tere Naal Love Ho Gaya,MOVIE,2012,PG,126,"['romance', 'drama', 'comedy']",['IN'],,tt2130242,5.8
FRED 3: Camp Fred,MOVIE,2012,PG,81,"['comedy', 'family']",['US'],,tt2395219,2.0
Kalakalappu,MOVIE,2012,G,149,['comedy'],['IN'],,tt2262126,6.9
Meet the Adebanjos,SHOW,2012,TV-PG,25,['comedy'],['GB'],3.0,tt2344781,7.6
Katt Williams: Kattpacalypse,MOVIE,2012,R,60,['comedy'],['US'],,tt2370686,5.5
No One Killed Jessica,MOVIE,2011,PG-13,136,"['crime', 'drama', 'thriller']",['IN'],,tt1734110,7.2
Luv Shuv Tey Chicken Khurana,MOVIE,2012,PG,140,['comedy'],['IN'],,tt2186933,6.6
Ragini MMS,MOVIE,2011,PG-13,93,"['horror', 'drama', 'thriller']",['IN'],,tt1890513,5.1
Tom Papa: Live in New York City,MOVIE,2011,,57,['comedy'],['US'],,tt1910649,7.2
10 jours en or,MOVIE,2012,,95,"['comedy', 'drama', 'european']",['FR'],,tt1729630,6.0
26 Years,MOVIE,2012,,135,"['thriller', 'crime', 'drama']",['KR'],,tt2551894,6.3
7 Khoon Maaf,MOVIE,2011,,148,"['thriller', 'comedy', 'drama']",['IN'],,tt1629376,6.2
Asmaa,MOVIE,2011,,96,['drama'],['EG'],,tt1826603,8.1
"All's Well, Ends Well",MOVIE,2012,,118,['comedy'],['HK'],,tt2051818,5.1
The Oath,SHOW,2011,TV-14,44,['drama'],['SG'],1.0,tt7131686,7.9
Vettai,MOVIE,2012,,150,"['thriller', 'action']",['IN'],,tt1956697,6.0
Tita Rahiba,MOVIE,2012,G,104,"['comedy', 'drama']",['XX'],,tt2350736,5.2
Ek Main Aur Ekk Tu,MOVIE,2012,PG,110,"['drama', 'comedy', 'romance']",['IN'],,tt1703958,5.8
Last Flight to Abuja,MOVIE,2012,,81,"['action', 'thriller', 'drama']","['GB', 'NG']",,tt2287851,4.5
Michael,MOVIE,2011,PG-13,97,"['thriller', 'drama']",['IN'],,tt1754202,5.3
Bbuddah Hoga Terra Baap,MOVIE,2011,PG-13,118,"['thriller', 'action', 'comedy', 'crime']",['IN'],,tt1869296,5.6
Shor in the City,MOVIE,2011,PG,107,"['drama', 'crime']",['IN'],,tt1916728,7.2
Chhota Bheem & Krishna in Mayanagari,MOVIE,2011,G,66,"['animation', 'action', 'fantasy']",['IN'],,tt16235600,9.0
Department,MOVIE,2012,R,141,"['thriller', 'action', 'crime']",['IN'],,tt2186731,3.2
Stray Bullet,MOVIE,2011,,80,['drama'],['LB'],,tt1726871,6.3
The Mistress,MOVIE,2012,PG-13,125,"['romance', 'drama']",['PH'],,tt2389344,6.3
Inborn Pair,SHOW,2011,TV-14,43,"['drama', 'comedy']",['TW'],1.0,tt6357282,7.1
X Large,MOVIE,2011,,135,[],[],,,
Ferrari Ki Sawaari,MOVIE,2012,G,140,"['comedy', 'family', 'sport', 'drama']",['IN'],,tt2122340,6.4
Zokkomon,MOVIE,2011,PG,109,"['scifi', 'fantasy', 'action', 'family']",['IN'],,tt1605790,3.9
Office Girls,SHOW,2011,TV-14,46,"['drama', 'comedy', 'romance']",['TW'],1.0,tt4381290,6.9
Chhota Bheem and the Broken Amulet,MOVIE,2012,,63,['animation'],['IN'],,tt6417816,7.5
One More Try,MOVIE,2012,,100,['drama'],['PH'],,tt2590280,5.9
Thaandavam,MOVIE,2012,,167,"['action', 'thriller']",['IN'],,tt5249376,6.1
Aiyyaa,MOVIE,2012,G,146,"['comedy', 'romance']",['IN'],,tt2255934,4.3
Blood Money,MOVIE,2012,PG,110,"['drama', 'thriller', 'action', 'crime']",['IN'],,tt2246595,5.1
Heroine,MOVIE,2012,,140,['drama'],['IN'],,tt1949548,5.0
Bwakaw,MOVIE,2012,,104,"['drama', 'comedy']",['PH'],,tt2244376,7.1
"Love, Now",SHOW,2012,TV-Y,45,"['drama', 'comedy']",['TW'],1.0,tt6273116,7.6
Taxi Ballad,MOVIE,2012,,93,['drama'],"['AE', 'US', 'LB']",,,
Chota Bheem Aur Ganesh in the Amazing Odyssey,MOVIE,2012,G,65,['animation'],['IN'],,tt6356352,7.8
Sisterakas,MOVIE,2012,,110,"['drama', 'comedy']",['PH'],,tt2590214,5.2
Masameer,SHOW,2011,TV-MA,0,"['comedy', 'animation']",['SA'],1.0,tt6298258,8.2
Chhota Bheem In Dholakpur to Kathmandu,MOVIE,2012,G,70,['animation'],['XX'],,tt6442774,7.8
The Rise of Kirmada,MOVIE,2012,G,68,['animation'],['IN'],,tt6543070,8.0
Husbands in Goa,MOVIE,2012,,150,['comedy'],['IN'],,tt2407826,3.8
Drunken to Love You,SHOW,2011,TV-14,46,"['comedy', 'drama', 'romance']",['TW'],1.0,tt2661520,6.5
Question Mark,MOVIE,2011,,102,['drama'],['ID'],,tt1979169,7.0
Takki,SHOW,2012,,17,['drama'],['SA'],3.0,tt6052432,6.5
Muran,MOVIE,2011,,134,"['thriller', 'action']",['IN'],,tt2053397,6.3
"Darling, Something's Wrong with Your Head",MOVIE,2011,,78,"['drama', 'romance', 'war', 'european']","['NL', 'US', 'AE', 'PS']",,tt1670646,6.7
Phone Swap,MOVIE,2012,,111,"['comedy', 'romance']",['NG'],,tt2198109,6.4
Chhota Bheem: Journey to Petra,MOVIE,2011,G,67,['animation'],['IN'],,tt6543194,
Chhota Bheem Master of Shaolin,MOVIE,2011,G,75,['animation'],[],,tt6442670,6.3
No Other Woman,MOVIE,2011,,104,"['drama', 'thriller', 'romance']",['PH'],,tt2057445,5.9
Yours Fatefully,SHOW,2012,TV-14,44,"['drama', 'comedy', 'romance']",['SG'],1.0,tt7131690,6.8
Moshe Kasher: Live in Oakland,MOVIE,2012,,60,['comedy'],['US'],,tt2229301,6.7
My Friend Pinto,MOVIE,2011,PG,115,"['comedy', 'drama', 'crime']",['IN'],,tt1512220,5.3
The Mirror Boy,MOVIE,2011,,84,"['fantasy', 'drama']",['NG'],,tt1730705,4.9
The Glamorous Imperial Concubine,SHOW,2011,TV-PG,47,"['drama', 'romance', 'history']",['CN'],1.0,tt2272555,7.0
Here Comes the Rain,MOVIE,2011,,100,['drama'],['LB'],,tt2091312,6.3
Outlander,SHOW,2014,TV-MA,60,"['scifi', 'drama', 'fantasy', 'romance']",['US'],6.0,tt3006802,8.4
Peaky Blinders,SHOW,2013,TV-MA,58,"['drama', 'crime', 'european']",['GB'],6.0,tt2442560,8.8
Attack on Titan,SHOW,2013,TV-MA,24,"['scifi', 'action', 'drama', 'fantasy', 'horror', 'animation']",['JP'],4.0,tt2560140,9.0
The Blacklist,SHOW,2013,TV-14,43,"['drama', 'crime', 'thriller']",['US'],9.0,tt2741602,8.0
Married at First Sight,SHOW,2014,TV-PG,64,"['reality', 'european']",['US'],14.0,tt3868860,6.1
Paddington,MOVIE,2014,PG,96,"['comedy', 'animation', 'family', 'fantasy', 'european']","['FR', 'GB', 'US']",,tt1109624,7.2
The Flash,SHOW,2014,TV-14,42,"['scifi', 'drama', 'action']",['US'],8.0,tt3107288,7.6
Nightcrawler,MOVIE,2014,R,118,"['crime', 'thriller', 'drama']",['US'],,tt2872718,7.8
Gotham,SHOW,2014,TV-14,43,"['scifi', 'action', 'crime', 'drama', 'thriller']",['US'],5.0,tt3749900,7.8
Are You The One?,SHOW,2014,TV-14,41,['reality'],['US'],8.0,tt3484274,6.5
Her,MOVIE,2013,R,126,"['drama', 'romance', 'scifi']",['US'],,tt1798709,8.0
42,MOVIE,2013,PG-13,128,"['drama', 'sport']",['US'],,tt0453562,7.5
The Imitation Game,MOVIE,2014,PG-13,113,"['thriller', 'drama', 'war']","['US', 'GB']",,tt2084970,8.0
The Call,MOVIE,2013,R,94,"['crime', 'thriller', 'drama', 'horror', 'european']",['US'],,tt1911644,6.7
The 100,SHOW,2014,TV-14,42,"['drama', 'action', 'scifi']",['US'],7.0,tt2661044,7.6
Big Eyes,MOVIE,2014,PG-13,106,"['drama', 'documentation', 'crime', 'romance']","['CA', 'US']",,tt1126590,7.2
How to Get Away with Murder,SHOW,2014,TV-14,43,"['drama', 'thriller', 'crime']",['US'],6.0,tt3205802,8.1
Oldboy,MOVIE,2013,R,104,"['thriller', 'action', 'drama']",['US'],,tt1321511,5.7
Rush,MOVIE,2013,R,123,"['drama', 'action', 'sport', 'european']","['US', 'DE', 'GB']",,tt1979320,8.1
Reign,SHOW,2013,TV-14,42,"['drama', 'fantasy']",['US'],4.0,tt2710394,7.5
How to Train Your Dragon 2,MOVIE,2014,PG,102,"['fantasy', 'comedy', 'family', 'animation', 'action']",['US'],,tt1646971,7.8
Begin Again,MOVIE,2013,R,104,"['comedy', 'music', 'romance', 'drama']",['US'],,tt1980929,7.4
The Conjuring,MOVIE,2013,R,107,"['thriller', 'horror']",['US'],,tt1457767,7.5
Insidious: Chapter 2,MOVIE,2013,PG-13,106,"['thriller', 'horror']",['US'],,tt2226417,6.5
BoJack Horseman,SHOW,2014,TV-MA,26,"['drama', 'comedy', 'animation']",['US'],6.0,tt3398228,8.8
House of Cards,SHOW,2013,TV-MA,52,['drama'],['US'],6.0,tt1856010,8.7
Henry Danger,SHOW,2014,TV-G,24,"['scifi', 'action', 'comedy', 'family']",['US'],5.0,tt3596174,5.6
A Walk Among the Tombstones,MOVIE,2014,R,113,"['drama', 'thriller', 'action', 'crime']",['US'],,tt0365907,6.5
Olympus Has Fallen,MOVIE,2013,R,119,"['thriller', 'action', 'drama']",['US'],,tt2302755,6.5
The Giver,MOVIE,2014,PG-13,97,"['drama', 'scifi', 'romance', 'thriller']",['US'],,tt0435651,6.4
Orange Is the New Black,SHOW,2013,TV-MA,59,"['drama', 'comedy', 'crime']",['US'],7.0,tt2372162,8.1
The Originals,SHOW,2013,TV-14,43,"['scifi', 'drama', 'fantasy', 'horror']",['US'],5.0,tt2632424,8.3
Jane the Virgin,SHOW,2014,TV-14,42,"['drama', 'comedy']",['US'],5.0,tt3566726,7.8
Creep,MOVIE,2014,R,77,"['horror', 'thriller']",['US'],,tt2428170,6.3
St. Vincent,MOVIE,2014,PG-13,102,"['comedy', 'drama']",['US'],,tt2170593,7.2
Marco Polo,SHOW,2014,TV-MA,55,"['action', 'drama', 'history', 'documentation']",['US'],2.0,tt2189461,8.0
Wentworth,SHOW,2013,TV-MA,46,"['drama', 'crime', 'thriller']",['AU'],9.0,tt2433738,8.6
Madam Secretary,SHOW,2014,TV-14,43,"['war', 'thriller', 'drama']",['US'],6.0,tt3501074,7.6
The Green Inferno,MOVIE,2013,R,100,"['horror', 'thriller']","['CA', 'CL', 'US']",,tt2403021,5.3
Dark Skies,MOVIE,2013,PG-13,97,"['thriller', 'horror', 'scifi', 'documentation']",['US'],,tt4190332,6.3
KILL la KILL,SHOW,2013,TV-MA,25,"['action', 'scifi', 'fantasy', 'animation', 'comedy', 'drama']",['JP'],1.0,tt3114390,7.9
The Frozen Ground,MOVIE,2013,R,105,"['thriller', 'drama', 'crime']",['US'],,tt2005374,6.4
